login,full_name,created_at,pushed_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
AbdullahBakir97,AbdullahBakir97/Desktop-Receipt-Gen,2024-10-24T17:17:33Z,2024-10-26T18:05:26Z,0,0,TeX,true,true,
chrisgrieser,chrisgrieser/.config,2023-09-21T12:02:53Z,2024-10-26T17:53:19Z,86,86,Lua,false,false,
splitbrain,splitbrain/infra-bitters,2024-08-24T10:07:07Z,2024-10-26T17:45:56Z,2,2,Shell,false,false,
floooh,floooh/sokol,2017-07-14T08:38:25Z,2024-10-26T17:24:59Z,7017,7017,C,false,true,zlib
floooh,floooh/sokol-samples,2017-07-14T16:29:50Z,2024-10-26T17:21:02Z,618,618,C,true,true,mit
vadorovsky,vadorovsky/cosmic-session,2023-09-02T08:43:18Z,2024-10-26T17:15:04Z,0,0,,true,true,gpl-3.0
Byron,Byron/trash-rs,2019-07-03T11:46:38Z,2024-10-26T17:10:35Z,169,169,Rust,true,true,mit
iotaledger,iotaledger/firefly,2020-04-30T16:27:21Z,2024-10-26T17:04:59Z,483,483,TypeScript,true,true,apache-2.0
ligi,ligi/SurvivalManual,2016-09-16T18:47:11Z,2024-10-26T16:22:21Z,942,942,Kotlin,true,true,gpl-3.0
Expensify,Expensify/App,2020-08-07T19:08:07Z,2024-10-26T16:19:16Z,3498,3498,TypeScript,true,true,mit
wix,wix/wix-commerce-ticketing-nextjs-template,2023-03-28T14:12:38Z,2024-10-26T16:14:46Z,22,22,TypeScript,true,true,mit
hynek,hynek/svcs,2023-07-12T08:43:28Z,2024-10-26T15:31:05Z,296,296,Python,false,true,mit
angelikatyborska,angelikatyborska/a11y-audit-elixir,2023-10-30T17:12:26Z,2024-10-26T15:24:16Z,47,47,Elixir,true,false,mit
chrisgrieser,chrisgrieser/scroll-offset,2024-10-26T14:52:13Z,2024-10-26T15:04:24Z,0,0,,true,true,mit
lewagon,lewagon/data-setup,2019-10-04T12:45:33Z,2024-10-26T14:52:40Z,1829,1829,Ruby,false,true,
roji,roji/efcore.pg,2016-04-29T08:53:25Z,2024-10-26T14:51:33Z,3,3,,true,true,
